Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
CCDC39,339829,no,no,no,yes,no,no,no,1
LINC01115,339822,no,no,yes,no,no,no,no,1
ID2,3398,no,no,yes,no,no,no,no,1
EIF3FP3,339799,no,no,no,yes,no,no,no,1
LOC339539,339539,no,no,yes,no,no,no,no,1
CCDC190,339512,no,no,yes,no,no,no,no,1
NANOS2,339345,no,no,yes,no,no,no,no,1
TMEM95,339168,no,no,yes,no,no,no,no,1
LOC338963,338963,no,no,no,no,no,no,yes,1
CSTF3-AS1,338739,no,no,yes,no,no,no,no,1
LUZP2,338645,no,no,no,yes,no,no,no,1
SNORD115-1,338433,no,no,yes,no,no,no,no,1
ICAM1,3383,no,no,yes,no,no,no,no,1
KRTAP8-1,337879,no,no,yes,no,no,no,no,1
HTR5A,3361,no,no,no,no,yes,no,no,1
HTR4,3360,no,no,no,no,yes,no,no,1
HTR3A,3359,no,no,no,no,yes,no,no,1
HTR1A,3350,no,no,no,no,yes,no,no,1
DNAJB1,3337,no,no,yes,no,no,no,no,1
HSPE1,3336,no,no,no,yes,no,no,no,1
HSPB1,3315,no,no,yes,no,no,no,no,1
HSPA8,3312,no,no,yes,no,no,no,no,1
HSPA7,3311,no,no,yes,no,no,no,no,1
HSPA6,3310,no,no,yes,no,no,no,no,1
HSPA1L,3305,no,no,yes,no,no,no,no,1
HSPA1B,3304,yes,no,no,no,no,no,no,1
HSPA1A,3303,no,no,yes,no,no,no,no,1
HSD11B1,3290,no,no,yes,no,no,no,no,1
HES1,3280,no,no,yes,no,no,no,no,1
PRMT1,3276,no,no,yes,no,no,no,no,1
HRH1,3269,no,no,no,no,yes,no,no,1
RAB37,326624,no,no,yes,no,no,no,no,1
HRAS,3265,no,no,yes,no,no,no,no,1
MT1DP,326343,no,no,yes,no,no,no,no,1
HPR,3250,no,no,yes,no,no,no,no,1
HPD,3242,no,no,yes,no,no,no,no,1
HP,3240,no,no,no,no,yes,no,no,1
HOXB5,3215,no,no,yes,no,no,no,no,1
APBA2,321,no,yes,no,no,no,no,no,1
HNRNPU,3192,no,no,yes,no,no,no,no,1
TAAR6,319100,no,no,no,no,yes,no,no,1
