['9452', 0.38077236299762396, 0.1765037623395984, 1.0, 0.17008192731129892, 'Unlabeled', 'Positive', 'Unlabeled']
['63826', 0.3807511755851159, 0.17582507633918873, 1.0, 0.1713545496620861, 'Unlabeled', 'Positive', 'Unlabeled']
['4582', 0.3804892446181041, 0.17141274169023657, 1.0, 0.1791314950919435, 'Unlabeled', 'Positive', 'Unlabeled']
['6624', 0.3800215096050635, 0.16712281185514355, 1.0, 0.18584041470996682, 'Unlabeled', 'Positive', 'Unlabeled']
['1397', 0.3799608755287529, 0.1640513931926302, 1.0, 0.19174071572975135, 'Unlabeled', 'Positive', 'Unlabeled']
['5639', 0.3799392163272457, 0.17070500901479757, 1.0, 0.17834684727938757, 'Unlabeled', 'Positive', 'Unlabeled']
['64743', 0.3795145141586882, 0.16331092498042185, 1.0, 0.19143620667390918, 'Unlabeled', 'Positive', 'Unlabeled']
['64236', 0.3792733854533529, 0.16439537777746085, 1.0, 0.18830278625848962, 'Unlabeled', 'Positive', 'Unlabeled']
['51361', 0.3788620933446136, 0.17219560111740617, 1.0, 0.17105717114364224, 'Unlabeled', 'Positive', 'Unlabeled']
['29086', 0.37880489021878616, 0.16563952523505474, 1.0, 0.18394051040503526, 'Unlabeled', 'Positive', 'Unlabeled']
['23761', 0.3787109376352455, 0.1685472300894493, 1.0, 0.17774929036208334, 'Unlabeled', 'Positive', 'Unlabeled']
['10445', 0.37860404520842583, 0.1655542637368924, 1.0, 0.18330765335991853, 'Unlabeled', 'Positive', 'Unlabeled']
['1774', 0.37828602302117953, 0.1655572443171391, 1.0, 0.1820296034504401, 'Unlabeled', 'Positive', 'Unlabeled']
['328', 0.3782200131752246, 0.17053810678654013, 1.0, 0.17180383912781816, 'Unlabeled', 'Positive', 'Unlabeled']
['1465', 0.3780532593780521, 0.1615860528617573, 1.0, 0.18904093178869394, 'Unlabeled', 'Positive', 'Unlabeled']
['1135', 0.3779069467764375, 0.16889542462609775, 1.0, 0.1738369378535544, 'Unlabeled', 'Positive', 'Unlabeled']
['6948', 0.37767130421388734, 0.16112210896251947, 1.0, 0.18844099893051047, 'Unlabeled', 'Positive', 'Unlabeled']
['2149', 0.37756932882228655, 0.172128382671529, 1.0, 0.16602054994608836, 'Unlabeled', 'Positive', 'Unlabeled']
